user_id,event_date,event_type,feature_name
100,2024-06-27,login,Authentication
59,2024-01-13,login,Authentication
508,2024-05-07,login,Authentication
258,2024-05-31,create_task,Task Management
413,2024-05-18,login,Authentication
452,2024-02-21,create_task,Task Management
65,2024-01-17,upload_file,File Sharing
595,2024-06-13,comment,Task Collaboration
154,2024-01-13,login,Authentication
985,2024-03-24,create_task,Task Management
266,2024-04-06,upload_file,File Sharing
821,2024-04-15,login,Authentication
79,2024-04-05,login,Authentication
315,2024-01-08,assign_task,Task Collaboration
662,2024-02-25,assign_task,Task Collaboration
947,2024-04-13,login,Authentication
560,2024-03-23,comment,Task Collaboration
917,2024-02-13,assign_task,Task Collaboration
891,2024-04-12,complete_task,Task Completion
248,2024-04-21,login,Authentication
790,2024-06-17,upload_file,File Sharing
868,2024-05-28,login,Authentication
610,2024-02-11,assign_task,Task Collaboration
414,2024-06-05,assign_task,Task Collaboration
25,2024-05-24,create_task,Task Management
284,2024-01-30,upload_file,File Sharing
449,2024-01-26,login,Authentication
881,2024-05-04,create_task,Task Management
301,2024-01-19,login,Authentication
68,2024-02-22,comment,Task Collaboration
7,2024-03-25,login,Authentication
817,2024-01-17,upload_file,File Sharing
137,2024-06-22,upload_file,File Sharing
164,2024-04-13,upload_file,File Sharing
83,2024-04-14,login,Authentication
897,2024-04-13,assign_task,Task Collaboration
650,2024-06-21,login,Authentication
420,2024-06-25,upload_file,File Sharing
73,2024-05-26,comment,Task Collaboration
237,2024-05-03,create_task,Task Management
46,2024-03-21,comment,Task Collaboration
618,2024-02-06,login,Authentication
928,2024-04-30,create_task,Task Management
800,2024-03-10,login,Authentication
262,2024-06-02,complete_task,Task Completion
176,2024-05-09,integrate_tool,Integrations
166,2024-02-28,comment,Task Collaboration
657,2024-04-27,complete_task,Task Completion
842,2024-05-12,login,Authentication
370,2024-02-06,complete_task,Task Completion
795,2024-01-31,login,Authentication
54,2024-04-08,comment,Task Collaboration
690,2024-04-03,comment,Task Collaboration
419,2024-06-24,login,Authentication
756,2024-01-06,create_task,Task Management
507,2024-01-15,login,Authentication
341,2024-05-22,complete_task,Task Completion
127,2024-01-16,login,Authentication
409,2024-01-20,create_task,Task Management
924,2024-03-17,upload_file,File Sharing
367,2024-02-13,login,Authentication
271,2024-06-18,create_task,Task Management
644,2024-02-15,assign_task,Task Collaboration
605,2024-04-04,login,Authentication
379,2024-06-10,upload_file,File Sharing
73,2024-03-04,login,Authentication
923,2024-06-05,login,Authentication
922,2024-05-10,assign_task,Task Collaboration
915,2024-01-09,create_task,Task Management
248,2024-06-01,complete_task,Task Completion
860,2024-02-11,integrate_tool,Integrations
785,2024-06-22,create_task,Task Management
43,2024-03-13,create_task,Task Management
377,2024-03-24,login,Authentication
41,2024-02-28,login,Authentication
170,2024-01-21,create_task,Task Management
946,2024-05-29,upload_file,File Sharing
212,2024-06-05,login,Authentication
493,2024-03-03,login,Authentication
680,2024-03-13,create_task,Task Management
39,2024-03-01,login,Authentication
369,2024-03-04,comment,Task Collaboration
757,2024-03-09,create_task,Task Management
151,2024-06-16,create_task,Task Management
111,2024-05-08,login,Authentication
480,2024-04-15,complete_task,Task Completion
436,2024-03-05,login,Authentication
47,2024-05-01,integrate_tool,Integrations
575,2024-03-02,create_task,Task Management
737,2024-04-12,integrate_tool,Integrations
366,2024-02-29,comment,Task Collaboration
69,2024-02-15,login,Authentication
299,2024-01-05,upload_file,File Sharing
944,2024-04-22,comment,Task Collaboration
802,2024-05-29,login,Authentication
296,2024-03-10,login,Authentication
203,2024-06-08,assign_task,Task Collaboration
61,2024-01-11,comment,Task Collaboration
946,2024-05-17,comment,Task Collaboration
963,2024-06-15,comment,Task Collaboration
830,2024-04-07,comment,Task Collaboration
314,2024-01-31,upload_file,File Sharing
161,2024-01-12,assign_task,Task Collaboration
331,2024-04-17,login,Authentication
528,2024-03-20,complete_task,Task Completion
338,2024-06-14,login,Authentication
606,2024-03-07,create_task,Task Management
304,2024-02-21,comment,Task Collaboration
503,2024-05-12,create_task,Task Management
650,2024-05-18,login,Authentication
338,2024-01-25,login,Authentication
550,2024-02-04,assign_task,Task Collaboration
639,2024-06-11,complete_task,Task Completion
275,2024-01-22,assign_task,Task Collaboration
164,2024-06-13,create_task,Task Management
443,2024-04-05,login,Authentication
319,2024-04-26,login,Authentication
589,2024-01-20,login,Authentication
504,2024-04-15,login,Authentication
686,2024-01-04,create_task,Task Management
387,2024-01-18,login,Authentication
970,2024-02-20,login,Authentication
870,2024-01-20,comment,Task Collaboration
833,2024-05-01,integrate_tool,Integrations
888,2024-05-16,complete_task,Task Completion
