user_id,session_id,session_start,session_end
607,1,2024-02-11 10:47,2024-02-11 11:13
598,2,2024-05-26 23:35,2024-05-27 00:39
389,3,2024-04-02 10:11,2024-04-02 11:09
607,4,2024-04-26 07:47,2024-04-26 08:13
335,5,2024-05-06 21:56,2024-05-06 23:01
446,6,2024-02-04 11:51,2024-02-04 13:01
509,7,2024-05-15 14:05,2024-05-15 14:54
657,8,2024-04-20 02:00,2024-04-20 03:16
248,9,2024-02-12 12:18,2024-02-12 13:31
693,10,2024-02-14 12:30,2024-02-14 13:38
293,11,2024-05-13 13:08,2024-05-13 13:22
531,12,2024-01-13 18:44,2024-01-13 19:55
138,13,2024-01-11 14:54,2024-01-11 15:09
556,14,2024-04-11 16:46,2024-04-11 17:18
738,15,2024-05-14 03:06,2024-05-14 03:15
945,16,2024-02-24 19:42,2024-02-24 19:58
345,17,2024-01-19 08:37,2024-01-19 09:25
37,18,2024-04-16 11:21,2024-04-16 11:54
314,19,2024-01-06 20:03,2024-01-06 21:25
220,20,2024-01-09 20:35,2024-01-09 21:15
640,21,2024-05-27 16:40,2024-05-27 17:19
143,22,2024-01-25 10:39,2024-01-25 10:51
404,23,2024-02-19 12:09,2024-02-19 12:29
695,24,2024-03-12 10:52,2024-03-12 11:39
909,25,2024-06-26 07:12,2024-06-26 08:25
404,26,2024-06-14 10:43,2024-06-14 11:03
555,27,2024-03-06 12:42,2024-03-06 13:42
479,28,2024-02-26 14:49,2024-02-26 15:34
722,29,2024-01-22 01:40,2024-01-22 03:01
937,30,2024-02-25 05:19,2024-02-25 05:31
560,31,2024-02-05 18:41,2024-02-05 19:39
824,32,2024-06-27 14:07,2024-06-27 14:16
220,33,2024-03-08 04:38,2024-03-08 04:51
367,34,2024-01-01 11:37,2024-01-01 12:47
196,35,2024-02-17 19:26,2024-02-17 20:41
984,36,2024-06-09 22:48,2024-06-09 23:22
684,37,2024-05-31 05:55,2024-05-31 07:20
749,38,2024-06-25 14:54,2024-06-25 16:03
969,39,2024-02-27 14:28,2024-02-27 15:02
687,40,2024-02-17 22:58,2024-02-17 23:49
946,41,2024-04-08 07:09,2024-04-08 07:44
32,42,2024-05-05 17:42,2024-05-05 18:46
736,43,2024-04-23 22:06,2024-04-23 23:25
54,44,2024-03-30 07:04,2024-03-30 08:28
423,45,2024-04-22 22:51,2024-04-22 23:04
981,46,2024-06-19 07:08,2024-06-19 08:28
698,47,2024-06-17 21:49,2024-06-17 22:47
234,48,2024-04-16 07:34,2024-04-16 08:39
829,49,2024-06-02 22:27,2024-06-02 23:35
